drop_vanilla,drop_whitened,experiment,kappa,rank,trial
1.3833728179980032,1.3833728179980036,2,1,2,0
1.6730599638635892,1.6730599638635895,2,1,4,0
2.0868412529361726,2.0868412529361726,2,1,8,0
2.7065123448424413,2.706512344842442,2,1,16,0
3.588136120477042,3.5881361204770457,2,1,32,0
4.7888444592213935,4.788844459221395,2,1,64,0
6.321067570243821,6.321067570243819,2,1,128,0
8.066075470683346,8.066075470683346,2,1,256,0
1.3826728384076912,1.382672838407691,2,1,2,1
1.6732294510690784,1.673229451069078,2,1,4,1
2.0852578198190166,2.085257819819016,2,1,8,1
2.7056359268130805,2.705635926813083,2,1,16,1
3.5916261470685478,3.5916261470685478,2,1,32,1
4.794490345344299,4.794490345344299,2,1,64,1
6.327328204098695,6.327328204098693,2,1,128,1
8.072632279613195,8.0726322796132,2,1,256,1
1.3907953784475178,1.390795378447518,2,1,2,2
1.6840920620648137,1.6840920620648148,2,1,4,2
2.095438467622723,2.095438467622723,2,1,8,2
2.7118109829101122,2.711810982910112,2,1,16,2
3.5965639571360244,3.5965639571360244,2,1,32,2
4.795288627358104,4.795288627358108,2,1,64,2
6.32241092288648,6.322410922886479,2,1,128,2
8.070211429758341,8.070211429758343,2,1,256,2
1.3809951285187347,1.380995128518734,2,1,2,3
1.6693378826504528,1.6693378826504524,2,1,4,3
2.07888181991998,2.0788818199199786,2,1,8,3
2.6982045754116517,2.6982045754116513,2,1,16,3
3.5818807286926995,3.5818807286926995,2,1,32,3
4.779705366978702,4.779705366978702,2,1,64,3
6.305582020332175,6.305582020332177,2,1,128,3
8.047257407943276,8.047257407943276,2,1,256,3
1.389520034616496,1.3895200346164966,2,1,2,4
1.6837029744651986,1.6837029744652001,2,1,4,4
2.0957216213335923,2.095721621333592,2,1,8,4
2.714778482025792,2.7147784820257947,2,1,16,4
3.597845078078244,3.597845078078246,2,1,32,4
4.799984613482077,4.799984613482078,2,1,64,4
6.329706746466167,6.329706746466165,2,1,128,4
