beta,cum_drop_vanilla,cum_drop_whitened,drift_scale,epsilon,rank,ratio_whitened_over_vanilla,time_steps
0.95,4.931845073656941,5.336963351239617,0.0,1e-08,8,1.0821433503145876,30
0.95,8.49124604506893,9.108926214334582,0.0,1e-08,32,1.0727431717308855,30
0.95,15.181554217176174,15.998535950929666,0.0,1e-08,128,1.053814103751589,30
