beta,cum_drop_vanilla,cum_drop_whitened,drift_scale,drop_vanilla,drop_whitened,epsilon,experiment,rank,step
0.95,0.033587107482425285,0.1150618526594083,0.0,0.033587107482425285,0.1150618526594083,1e-08,4,8,0
0.95,0.057753839385812786,0.1927089690135343,0.0,0.057753839385812786,0.1927089690135343,1e-08,4,32,0
0.95,0.12347925100888472,0.33716555751311694,0.0,0.12347925100888472,0.33716555751311694,1e-08,4,128,0
0.95,0.12304705261876393,0.2434022479919297,0.0,0.08945994513633865,0.1283403953325214,1e-08,4,8,1
0.95,0.21413168494579626,0.4095316534616166,0.0,0.15637784555998346,0.2168226844480823,1e-08,4,32,1
0.95,0.42085448885543497,0.7162309985639774,0.0,0.29737523784655023,0.37906544105086043,1e-08,4,128,1
0.95,0.23342327778073999,0.3808095397508653,0.0,0.11037622516197605,0.13740729175893562,1e-08,4,8,2
0.95,0.40677265758633996,0.6426257435383054,0.0,0.19264097264054367,0.2330940900766888,1e-08,4,32,2
0.95,0.7770523620143128,1.1251747891494652,0.0,0.35619787315887785,0.4089437905854878,1e-08,4,128,2
0.95,0.35722547187889764,0.5256001318039227,0.0,0.12380219409815764,0.14479059205305747,1e-08,4,8,3
0.95,0.62230252277177,0.889910687147908,0.0,0.21552986518543002,0.24728494360960263,1e-08,4,32,3
0.95,1.1701759100919047,1.5583415814150352,0.0,0.3931235480775919,0.43316679226557,1e-08,4,128,3
0.95,0.49101184604869086,0.6770805601935392,0.0,0.1337863741697932,0.15148042838961656,1e-08,4,8,4
0.95,0.8544453948254975,1.1485897683219581,0.0,0.23214287205372747,0.25867908117405014,1e-08,4,32,4
0.95,1.5907497917807505,2.0121658748393845,0.0,0.4205738816888459,0.4538242934243491,1e-08,4,128,4
0.95,0.6326059362186331,0.8343578616335526,0.0,0.14159409016994232,0.15727730144001337,1e-08,4,8,5
0.95,1.0991891463662806,1.4165230937912774,0.0,0.24474375154078312,0.2679333254693192,1e-08,4,32,5
0.95,2.0318191195408937,2.4819425726101434,0.0,0.4410693277601433,0.46977669777075887,1e-08,4,128,5
0.95,0.7808881637848855,0.9966443282037262,0.0,0.14828222756625226,0.1622864665701735,1e-08,4,8,6
0.95,1.3544526958680965,1.6924062504385153,0.0,0.2552635495018158,0.27588315664723784,1e-08,4,32,6
0.95,2.4900235420538834,2.9656366300806085,0.0,0.45820442251298993,0.48369405747046496,1e-08,4,128,6
0.95,0.9341269805884327,1.1626646136355856,0.0,0.15323881680354723,0.16602028543185934,1e-08,4,8,7
0.95,1.6181313468603447,1.97478462579187,0.0,0.2636786509922482,0.28237837535335475,1e-08,4,32,7
0.95,2.9629884747763273,3.4615712553400253,0.0,0.4729649327224437,0.49593462525941684,1e-08,4,128,7
0.95,1.091590570641031,1.331697101524062,0.0,0.1574635900525982,0.16903248788847633,1e-08,4,8,8
0.95,1.8895546009841437,2.2633875308024356,0.0,0.271423254123799,0.28860290501056557,1e-08,4,32,8
0.95,3.4487570403075396,3.968667119280116,0.0,0.4857685655312121,0.5070958639400907,1e-08,4,128,8
0.95,1.2535448147734047,1.504680765726792,0.0,0.16195424413237386,0.17298366420273,1e-08,4,8,9
0.95,2.168328749145773,2.558447047522742,0.0,0.27877414816162893,0.2950595167203062,1e-08,4,32,9
0.95,3.9462686516543912,4.485966937751203,0.0,0.49751161134685173,0.517299818471087,1e-08,4,128,9
0.95,1.417545161257351,1.6790430083001682,0.0,0.1640003464839463,0.17436224257337618,1e-08,4,8,10
0.95,2.4516900197303824,2.85701052254759,0.0,0.2833612705846096,0.29856347502484826,1e-08,4,32,10
0.95,4.452805355757652,5.0110598333929355,0.0,0.5065367041032611,0.5250928956417324,1e-08,4,128,10
0.95,1.5863823749797126,1.8577064490719464,0.0,0.16883721372236157,0.17866344077177826,1e-08,4,8,11
0.95,2.7418830884485423,3.1617115478413234,0.0,0.2901930687181601,0.30470102529373355,1e-08,4,32,11
0.95,4.969604843944739,5.545571775385358,0.0,0.5167994881870868,0.5345119419924234,1e-08,4,128,11
0.95,1.7571081884225923,2.0377596516726926,0.0,0.1707258134428798,0.180053202600746,1e-08,4,8,12
0.95,3.036052048890259,3.469676912292458,0.0,0.2941689604417169,0.3079653644511343,1e-08,4,32,12
0.95,5.49366891291525,6.0865405878656205,0.0,0.5240640689705106,0.5409688124802619,1e-08,4,128,12
0.95,1.9310838525797855,2.220823428126004,0.0,0.17397566415719312,0.18306377645331143,1e-08,4,8,13
0.95,3.334863254354439,3.781861517143588,0.0,0.29881120546418016,0.3121846048511305,1e-08,4,32,13
0.95,6.025466678812723,6.63455423293221,0.0,0.5317977658974731,0.5480136450665899,1e-08,4,128,13
0.95,2.107086354066155,2.4055121549686422,0.0,0.1760025014863694,0.18468872684263807,1e-08,4,8,14
0.95,3.637817720522416,4.097598010159933,0.0,0.3029544661679766,0.3157364930163445,1e-08,4,32,14
0.95,6.564812735968678,7.189409846393657,0.0,0.5393460571559552,0.5548556134614464,1e-08,4,128,14
0.95,2.2862694282442724,2.5931098972079893,0.0,0.17918307417811746,0.18759774223934714,1e-08,4,8,15
0.95,3.945007640563804,4.41716593059788,0.0,0.30718992004138795,0.319567920437947,1e-08,4,32,15
0.95,7.110180957662018,7.749722381778709,0.0,0.5453682216933396,0.5603125353850525,1e-08,4,128,15
0.95,2.4663167071511127,2.7813124634161177,0.0,0.1800472789068404,0.18820256620812825,1e-08,4,8,16
0.95,4.253960459329925,4.7381230117338236,0.0,0.3089528187661213,0.3209570811359429,1e-08,4,32,16
0.95,7.659438049127881,8.313513670825053,0.0,0.5492570914658631,0.5637912890463429,1e-08,4,128,16
0.95,2.648418116851836,2.9712423293465995,0.0,0.1821014097007233,0.1899298659304818,1e-08,4,8,17
0.95,4.5661999538988525,5.061938343383193,0.0,0.31223949456892686,0.3238153316493692,1e-08,4,32,17
0.95,8.21506017620649,8.8831658148587,0.0,0.5556221270786103,0.5696521440336473,1e-08,4,128,17
0.95,2.831778309932736,3.16216008589438,0.0,0.18336019308089951,0.19091775654778073,1e-08,4,8,18
0.95,4.881187440734154,5.388097199990155,0.0,0.31498748683530087,0.32615885660696303,1e-08,4,32,18
0.95,8.775078378540597,9.456902869621269,0.0,0.560018202334107,0.5737370547625694,1e-08,4,128,18
0.95,3.016726699978649,3.3546105339119108,0.0,0.18494839004591315,0.19245044801753064,1e-08,4,8,19
0.95,5.199100041976141,5.7169803696123,0.0,0.31791260124198745,0.3288831696221448,1e-08,4,32,19
0.95,9.340559355583512,10.0358947366692,0.0,0.5654809770429149,0.5789918670479299,1e-08,4,128,19
0.95,3.2036989866712444,3.5488012059506433,0.0,0.18697228669259555,0.19419067203873253,1e-08,4,8,20
0.95,5.5195901921622985,6.048048738540598,0.0,0.3204901501861571,0.33106836892829766,1e-08,4,32,20
0.95,9.909530952222488,10.617921124009497,0.0,0.568971596638976,0.5820263873402973,1e-08,4,128,20
0.95,3.391194002379661,3.743332618894623,0.0,0.18749501570841637,0.19453141294397971,1e-08,4,8,21
0.95,5.84219518194294,6.381198431346972,0.0,0.3226049897806416,0.3331496928063736,1e-08,4,32,21
0.95,10.482545352221068,11.203799111041462,0.0,0.5730143999985802,0.5858779870319658,1e-08,4,128,21
0.95,3.581016661065132,3.9402461179732136,0.0,0.18982265868547096,0.19691349907859027,1e-08,4,8,22
0.95,6.167432926517447,6.716750270420812,0.0,0.32523774457450644,0.33555183907384023,1e-08,4,32,22
0.95,11.059731474236887,11.793648326323973,0.0,0.5771861220158195,0.5898492152825116,1e-08,4,128,22
0.95,3.771713154007836,4.137825340201696,0.0,0.19069649294270416,0.1975792222284816,1e-08,4,8,23
0.95,6.495171318716431,7.0547878923096246,0.0,0.32773839219898426,0.3380376218888128,1e-08,4,32,23
0.95,11.64098896569985,12.387400675942551,0.0,0.5812574914629642,0.5937523496185788,1e-08,4,128,23
0.95,3.9636984588875066,4.336576557450066,0.0,0.19198530487967064,0.1987512172483702,1e-08,4,8,24
0.95,6.8249807916680245,7.394726038029656,0.0,0.3298094729515934,0.3399381457200319,1e-08,4,32,24
0.95,12.225669372447927,12.984350500983638,0.0,0.5846804067480761,0.5969498250410856,1e-08,4,128,24
0.95,4.156088127341461,4.535542936345828,0.0,0.19238966845395514,0.19896637889576269,1e-08,4,8,25
0.95,7.155729115231832,7.735280753541003,0.0,0.3307483235638072,0.34055471551134747,1e-08,4,32,25
0.95,12.811876009922512,13.582442160818577,0.0,0.5862066374745853,0.5980916598349397,1e-08,4,128,25
0.95,4.349643212377201,4.73566692772191,0.0,0.19355508503573948,0.20012399137608183,1e-08,4,8,26
0.95,7.487986555472428,8.077322428818343,0.0,0.3322574402405958,0.3420416752773404,1e-08,4,32,26
0.95,13.400911596482647,14.183284343193288,0.0,0.5890355865601345,0.6008421823747112,1e-08,4,128,26
0.95,4.5426667259944935,4.935121366517707,0.0,0.1930235136172928,0.19945443879579727,1e-08,4,8,27
0.95,7.820651301122571,8.419568607559802,0.0,0.3326647456501424,0.342246178741458,1e-08,4,32,27
0.95,13.992318063575393,14.786348619352637,0.0,0.5914064670927467,0.6030642761593495,1e-08,4,128,27
0.95,4.7366915461722865,5.135530968150528,0.0,0.19402482017779263,0.2004096016328205,1e-08,4,8,28
0.95,8.15488442210891,8.763289817691309,0.0,0.3342331209863397,0.34372121013150686,1e-08,4,32,28
0.95,14.585083165009248,15.390721325861005,0.0,0.5927651014338559,0.604372706508367,1e-08,4,128,28
0.95,4.931845073656941,5.336963351239617,0.0,0.1951535274846543,0.20143238308908928,1e-08,4,8,29
0.95,8.49124604506893,9.108926214334582,0.0,0.3363616229600202,0.34563639664327295,1e-08,4,32,29
0.95,15.181554217176174,15.998535950929666,0.0,0.5964710521669252,0.6078146250686616,1e-08,4,128,29
