err_vanilla,err_whitened,experiment,kappa,rank,trial
9.996915410613164,9.996915410613164,1,1,2,0
9.95245680305758,9.95245680305758,1,1,4,0
9.874014162514442,9.874014162514442,1,1,8,0
9.722902436831134,9.722902436831134,1,1,16,0
9.432353939654437,9.432353939654437,1,1,32,0
8.884570317698332,8.884570317698332,1,1,64,0
7.871274934163643,7.871274934163643,1,1,128,0
6.072300219529681,6.07230021952968,1,1,256,0
10.00091101316616,10.000911013166162,1,1,2,1
9.95643137316552,9.95643137316552,1,1,4,1
9.878422667905218,9.878422667905218,1,1,8,1
9.726590308986747,9.726590308986749,1,1,16,1
9.435399606675437,9.435399606675437,1,1,32,1
8.88512734978175,8.885127349781751,1,1,64,1
7.871415049687926,7.871415049687926,1,1,128,1
6.07821824757107,6.078218247571068,1,1,256,1
10.002532851088054,10.002532851088054,1,1,2,2
9.958727832942818,9.95872783294282,1,1,4,2
9.88067820743252,9.880678207432519,1,1,8,2
9.729184224962694,9.729184224962692,1,1,16,2
9.438144877040905,9.438144877040907,1,1,32,2
8.888712110377302,8.888712110377302,1,1,64,2
7.873903351214745,7.873903351214745,1,1,128,2
6.077239561748761,6.077239561748761,1,1,256,2
10.000801729413014,10.000801729413014,1,1,2,3
9.955613470108815,9.955613470108815,1,1,4,3
9.877040924365074,9.877040924365076,1,1,8,3
9.725471582761745,9.725471582761747,1,1,16,3
9.434387612301794,9.434387612301794,1,1,32,3
8.884484213912499,8.884484213912499,1,1,64,3
7.871085784874714,7.871085784874715,1,1,128,3
6.0740380996902905,6.0740380996902905,1,1,256,3
9.992277742546513,9.992277742546513,1,1,2,4
9.947868499515247,9.947868499515247,1,1,4,4
9.869521042120246,9.869521042120246,1,1,8,4
9.71872527085273,9.71872527085273,1,1,16,4
9.4280681377415,9.428068137741501,1,1,32,4
8.878541886552135,8.878541886552133,1,1,64,4
7.864664943660329,7.864664943660328,1,1,128,4
6.06693677712213,6.066936777122129,1,1,256,4
9.985544431426007,9.985544431426007,1,1,2,5
9.940103956880714,9.940103956880714,1,1,4,5
9.862425088322667,9.862425088322665,1,1,8,5
9.71207237838473,9.71207237838473,1,1,16,5
9.421881774117253,9.421881774117251,1,1,32,5
8.873501122045157,8.873501122045157,1,1,64,5
7.861821877150921,7.86182187715092,1,1,128,5
6.0654077389224375,6.0654077389224375,1,1,256,5
9.988242890796027,9.988242890796027,1,1,2,6
9.943693252358377,9.94369325235838,1,1,4,6
9.865976428712987,9.865976428712989,1,1,8,6
9.715145151616758,9.715145151616758,1,1,16,6
9.425149996662997,9.425149996662997,1,1,32,6
8.877040620139752,8.877040620139752,1,1,64,6
7.866732911640397,7.866732911640397,1,1,128,6
6.07134692296401,6.071346922964011,1,1,256,6
10.017793776038417,10.017793776038417,1,1,2,7
9.973908922892624,9.973908922892626,1,1,4,7
9.895335582241016,9.895335582241016,1,1,8,7
9.743596152208623,9.743596152208625,1,1,16,7
9.452913877698562,9.45291387769856,1,1,32,7
8.90339193460811,8.90339193460811,1,1,64,7
7.88965263852293,7.889652638522932,1,1,128,7
6.088945487237856,6.088945487237858,1,1,256,7
10.002712882849517,10.002712882849517,1,1,2,8
9.958021016967537,9.958021016967537,1,1,4,8
9.880264924544715,9.880264924544713,1,1,8,8
9.72881650976938,9.72881650976938,1,1,16,8
9.437651637566109,9.437651637566107,1,1,32,8
8.889123863558767,8.889123863558765,1,1,64,8
7.8750174803120165,7.875017480312016,1,1,128,8
6.076559288909643,6.076559288909644,1,1,256,8
10.00663050378713,10.00663050378713,1,1,2,9
9.962774927027652,9.96277492702765,1,1,4,9
9.884787431610187,9.884787431610185,1,1,8,9
9.73387279252459,9.73387279252459,1,1,16,9
9.442976243679462,9.442976243679464,1,1,32,9
8.893496001525588,8.893496001525586,1,1,64,9
7.878304199465539,7.878304199465538,1,1,128,9
6.0788069470466475,6.078806947046648,1,1,256,9
39.1361035670014,39.08880146930693,1,10,2,0
38.96705165755658,38.837623148854185,1,10,4,0
38.66052059003793,38.353024950442204,1,10,8,0
38.063261440544075,37.440664632430874,1,10,16,0
36.93849323248811,35.74361199187759,1,10,32,0
34.807029076759704,32.708461633496135,1,10,64,0
30.85446254586968,27.51258436167263,1,10,128,0
23.767033497595637,19.449919806407987,1,10,256,0
39.08063793678974,39.03868464118213,1,10,2,1
38.91431078786854,38.78844969799625,1,10,4,1
38.60359106556462,38.299873168529906,1,10,8,1
38.01581999220119,37.37998615945953,1,10,16,1
36.889453276232516,35.68098023260105,1,10,32,1
34.762973777653194,32.635299140260074,1,10,64,1
30.784711822485935,27.454267234750592,1,10,128,1
23.750168968280622,19.435018610609262,1,10,256,1
39.139912033731505,39.09439862939574,1,10,2,2
38.9727638419578,38.83696165723171,1,10,4,2
38.662345689365445,38.35306695697903,1,10,8,2
38.070754098756446,37.4308566211831,1,10,16,2
36.90283666865216,35.7086835134671,1,10,32,2
34.72019226205048,32.640907812289804,1,10,64,2
30.781786109782146,27.457672598308076,1,10,128,2
23.724213493428856,19.443581577074866,1,10,256,2
39.152864476295576,39.108154109252716,1,10,2,3
38.968002219724234,38.843787440884,1,10,4,3
38.653695566775895,38.35649684893671,1,10,8,3
38.06487976071333,37.439269459325466,1,10,16,3
36.94385584876543,35.736878562641664,1,10,32,3
34.78666540867867,32.68235565069925,1,10,64,3
30.7917455976324,27.485057157535564,1,10,128,3
23.81588081028735,19.460672885859665,1,10,256,3
39.07248461801299,39.03154628361072,1,10,2,4
38.9061171171785,38.781303989356736,1,10,4,4
38.595495103251864,38.30053959884821,1,10,8,4
38.01998500051167,37.39107543515972,1,10,16,4
36.87986920195034,35.696579227114356,1,10,32,4
34.745532120777426,32.646224245276855,1,10,64,4
30.773045987344805,27.463860965347468,1,10,128,4
23.72128431439825,19.44188468671761,1,10,256,4
39.0451222543986,38.99862823184072,1,10,2,5
38.87513454617876,38.747759286625914,1,10,4,5
38.57326563550452,38.27029321739845,1,10,8,5
38.00238943372294,37.36239242657049,1,10,16,5
36.87148934952393,35.66720437649643,1,10,32,5
34.709622718100675,32.63013214597518,1,10,64,5
30.784824209796195,27.479058107815128,1,10,128,5
23.779638444175113,19.464300130107514,1,10,256,5
39.04918453608748,39.00455229282048,1,10,2,6
38.87192101896769,38.750825199383584,1,10,4,6
38.568274319272625,38.2672805553098,1,10,8,6
37.97714256302688,37.35171659425943,1,10,16,6
36.85974977884706,35.673916774355206,1,10,32,6
34.71116478767535,32.64402450506219,1,10,64,6
30.80938952835211,27.495215965347423,1,10,128,6
23.78385773268928,19.478194572531656,1,10,256,6
39.01156188752125,38.96810435569337,1,10,2,7
38.83369754255299,38.71285107315712,1,10,4,7
38.54309506913884,38.23086228896491,1,10,8,7
37.966140060405955,37.319394704183274,1,10,16,7
36.849521484875346,35.63444231549441,1,10,32,7
34.70529404280198,32.60788526275447,1,10,64,7
30.768698069874528,27.440009139598978,1,10,128,7
23.71312400498389,19.42176981233418,1,10,256,7
39.06317082935059,39.01884925013226,1,10,2,8
38.87983251312494,38.758456294944985,1,10,4,8
38.58241682612114,38.27687520695834,1,10,8,8
37.99983260120417,37.361143324510074,1,10,16,8
36.86684904799893,35.679439855777744,1,10,32,8
34.701333554806475,32.635326609792706,1,10,64,8
30.772233502007698,27.465707255001995,1,10,128,8
23.78042227701863,19.460624286722968,1,10,256,8
39.06471221638331,39.01956788958565,1,10,2,9
38.903496419747384,38.770536366252585,1,10,4,9
38.59366806621301,38.28929963996451,1,10,8,9
38.010987458634354,37.37866088235856,1,10,16,9
36.88116846769406,35.68729674870365,1,10,32,9
34.71903224957562,32.64429737926605,1,10,64,9
30.749084003230287,27.47580194164012,1,10,128,9
23.75756937973891,19.451243756362395,1,10,256,9
215.11829648634506,214.26073285463602,1,100,2,0
214.12472962743246,211.86748146119132,1,100,4,0
212.430411443402,207.40306447685495,1,100,8,0
209.09865793686205,199.1646075151472,1,100,16,0
202.8483050829517,184.4887900944262,1,100,32,0
190.80983906968748,159.39077463040036,1,100,64,0
169.25412687714183,120.71554253103692,1,100,128,0
130.775452254127,70.50260487436412,1,100,256,0
215.92966415805626,215.14703254365114,1,100,2,1
214.98846509915364,212.78608578857876,1,100,4,1
213.29134255454912,208.34271381639962,1,100,8,1
210.0483419393412,199.9927614621918,1,100,16,1
203.6700162139529,185.0648645207537,1,100,32,1
191.4726994649305,159.9049048721561,1,100,64,1
169.93118844788805,121.08827263918691,1,100,128,1
130.89008484922908,70.4937800673676,1,100,256,1
214.6030363418137,213.71501096525964,1,100,2,2
213.66037874456455,211.3438147212825,1,100,4,2
211.9318624849104,206.89031758346766,1,100,8,2
208.70815271492313,198.67449700604405,1,100,16,2
202.54281243328938,184.02010304745573,1,100,32,2
190.6135009407905,159.06814710287873,1,100,64,2
169.27528056088704,120.57514012505959,1,100,128,2
130.80889502850175,70.43039174458687,1,100,256,2
215.44203253889313,214.59243127072307,1,100,2,3
214.52156988749465,212.23759280794266,1,100,4,3
212.88185809375898,207.79343380855383,1,100,8,3
209.6596020506994,199.429236940133,1,100,16,3
203.4786328428769,184.59119158839962,1,100,32,3
191.5836325570684,159.53788684680896,1,100,64,3
169.5387408208762,120.74925693757457,1,100,128,3
130.59097991536126,70.28786842957982,1,100,256,3
